Age,Gender,Income,Education,Employment,Online_Shop_Frequency,Avg_Spend_Per_Order,Frequent_Categories,Device_Used,Main_Purchase_Factor,Try_New_Platform,Pay_Faster_Delivery,Become_Regular_If_Personalized,Max_Loyalty_Program_Pay,Abandon_Cart_If_Slow,Allow_Data_Use_For_Rec,Checkout_Problem,Attn_Personalized_Recs,Price_Sensitivity,Switch_For_Discount,Shopping_Challenges,Desired_Features,Satisfaction_1_10,Preferred_Shop_Time,Would_Recommend
55+,Female,$3000-$4999,High School,Unemployed,6-10 times,$20-$49,"Groceries,Home & Kitchen,Electronics",Tablet,Reviews,Likely,No,Very Unlikely,$5-9,Sometimes,No,Changed Mind,Never,Very Sensitive,Unlikely,"Delivery Delays,Product Quality","Flexible Returns,One-Click Checkout",8,Afternoon,No
25-34,Female,<$1000,Bachelor’s,Employed,3-5 times,$20-$49,"Books,Fashion,Groceries",Mobile,Price,Unlikely,No,Neutral,$5-9,Yes,Yes,Slow Delivery,Sometimes,Neutral,Likely,Lack of Variety,Live Chat Support,5,Afternoon,No
35-44,Male,"$10,000+",Master’s,Employed,3-5 times,$50-$99,Electronics,Mobile,Brand,Very Unlikely,No,Very Unlikely,$5-9,Yes,No,Changed Mind,Rarely,Somewhat Sensitive,Neutral,"Product Quality,Delivery Delays,Lack of Variety","AR Product Previews,Better Loyalty Rewards,Live Chat Support",8,Morning,No
25-34,Female,<$1000,Bachelor’s,Self-employed,3-5 times,$50-$99,"Other,Electronics,Fashion",Mobile,Product Range,Very Likely,No,Very Likely,<$5,No,Yes,Changed Mind,Often,Not Very Sensitive,Likely,"Delivery Delays,Product Quality",One-Click Checkout,7,Morning,Maybe
35-44,Male,$3000-$4999,Bachelor’s,Employed,3-5 times,$100-$199,"Home & Kitchen,Fashion,Electronics",Mobile,Reviews,Likely,No,Likely,$5-9,Yes,Yes,Changed Mind,Sometimes,Very Sensitive,Unlikely,"Product Quality,Other,Lack of Variety",Better Loyalty Rewards,2,Evening,Yes
55+,Female,$1000-$2999,Doctorate,Self-employed,6-10 times,$20-$49,Groceries,Mobile,Product Range,Likely,Maybe,Neutral,<$5,No,Yes,High Shipping Costs,Rarely,Very Sensitive,Likely,"Delivery Delays,Poor Customer Service,Payment Issues","Better Loyalty Rewards,Flexible Returns",6,Evening,Yes
25-34,Male,<$1000,Master’s,Employed,1-2 times,$50-$99,Fashion,Other,Discounts,Likely,Yes,Likely,<$5,No,Yes,Changed Mind,Sometimes,Very Sensitive,Neutral,"Poor Customer Service,Lack of Variety","Other,One-Click Checkout",6,Evening,No
35-44,Male,$3000-$4999,Bachelor’s,Unemployed,3-5 times,$20-$49,Other,Mobile,Price,Likely,Yes,Very Likely,None,No,Yes,Slow Delivery,Rarely,Somewhat Sensitive,Neutral,Payment Issues,Other,4,Morning,Yes
35-44,Female,$5000-$9999,High School,Employed,10+ times,$20-$49,Health & Beauty,Mobile,Brand,Neutral,Yes,Very Likely,<$5,Sometimes,Yes,Other,Sometimes,Very Sensitive,Very Unlikely,"Lack of Variety,Delivery Delays,Product Quality",Better Loyalty Rewards,5,Night,Maybe
55+,Female,$3000-$4999,Bachelor’s,Employed,6-10 times,<$20,"Groceries,Other",Mobile,Discounts,Likely,Yes,Unlikely,None,No,No,Security Concerns,Sometimes,Very Sensitive,Very Likely,Delivery Delays,"Other,Better Loyalty Rewards,Flexible Returns",1,Evening,No
18-24,Male,"$10,000+",Bachelor’s,Employed,3-5 times,$50-$99,Groceries,Mobile,Product Range,Likely,No,Very Unlikely,$20+,Sometimes,Yes,Changed Mind,Often,Somewhat Sensitive,Likely,"Payment Issues,Poor Customer Service","Flexible Returns,AR Product Previews",7,Night,Maybe
18-24,Male,$1000-$2999,Master’s,Self-employed,1-2 times,$50-$99,Fashion,Desktop/Laptop,Discounts,Likely,Yes,Unlikely,None,No,Maybe,Complicated Checkout,Often,Somewhat Sensitive,Very Likely,Other,"Better Loyalty Rewards,Flexible Returns,One-Click Checkout",4,Evening,No
35-44,Male,$3000-$4999,Master’s,Employed,Never,$50-$99,"Books,Groceries",Desktop/Laptop,Discounts,Likely,No,Very Likely,<$5,No,Yes,Slow Delivery,Rarely,Neutral,Unlikely,"Product Quality,Poor Customer Service",Live Chat Support,6,Afternoon,Yes
45-54,Female,$5000-$9999,High School,Employed,6-10 times,<$20,"Home & Kitchen,Groceries",Mobile,Delivery Speed,Unlikely,No,Likely,$20+,Yes,No,Complicated Checkout,Sometimes,Very Sensitive,Likely,Delivery Delays,Better Loyalty Rewards,6,Evening,Maybe
55+,Female,$3000-$4999,Bachelor’s,Self-employed,1-2 times,$20-$49,"Health & Beauty,Other",Mobile,Reviews,Very Likely,Yes,Likely,$5-9,No,No,Other,Rarely,Very Sensitive,Very Likely,"Poor Customer Service,Delivery Delays",Better Loyalty Rewards,7,Evening,Yes
55+,Female,$5000-$9999,High School,Student,1-2 times,$20-$49,Health & Beauty,Mobile,Product Range,Very Unlikely,Yes,Neutral,<$5,Yes,Maybe,Slow Delivery,Sometimes,Neutral,Likely,Product Quality,Better Loyalty Rewards,7,Morning,Yes
55+,Male,$3000-$4999,Bachelor’s,Employed,10+ times,<$20,"Other,Home & Kitchen,Groceries",Mobile,Price,Likely,Maybe,Neutral,$5-9,Yes,No,Complicated Checkout,Never,Somewhat Sensitive,Neutral,Delivery Delays,One-Click Checkout,8,Evening,No
18-24,Female,$5000-$9999,High School,Employed,3-5 times,$20-$49,"Books,Fashion",Mobile,Delivery Speed,Unlikely,Yes,Very Likely,<$5,Sometimes,Yes,Changed Mind,Often,Somewhat Sensitive,Very Likely,"Poor Customer Service,Product Quality,Delivery Delays","Flexible Returns,Live Chat Support,One-Click Checkout",5,Evening,Yes
25-34,Female,$3000-$4999,Master’s,Employed,3-5 times,$20-$49,"Books,Fashion,Groceries",Mobile,Discounts,Neutral,No,Very Likely,None,No,Yes,Changed Mind,Sometimes,Neutral,Likely,"Product Quality,Other,Payment Issues","Flexible Returns,One-Click Checkout",6,Afternoon,Maybe
35-44,Male,$3000-$4999,Bachelor’s,Student,10+ times,$100-$199,"Electronics,Other",Mobile,Price,Likely,Yes,Very Likely,$20+,Sometimes,Yes,Security Concerns,Often,Very Sensitive,Very Likely,"Delivery Delays,Lack of Variety",One-Click Checkout,6,Afternoon,Maybe
18-24,Female,"$10,000+",Master’s,Employed,3-5 times,$20-$49,"Health & Beauty,Electronics",Mobile,Delivery Speed,Very Likely,Yes,Unlikely,None,Yes,Yes,Changed Mind,Rarely,Neutral,Neutral,Poor Customer Service,"Other,AR Product Previews",7,Afternoon,No
18-24,Male,$5000-$9999,Bachelor’s,Unemployed,3-5 times,$50-$99,"Fashion,Electronics",Mobile,Price,Neutral,No,Very Likely,$10-19,Sometimes,No,Security Concerns,Often,Not Very Sensitive,Likely,"Delivery Delays,Product Quality,Payment Issues",Better Loyalty Rewards,5,Afternoon,Maybe
18-24,Male,<$1000,Master’s,Unemployed,3-5 times,$100-$199,"Other,Health & Beauty,Home & Kitchen",Desktop/Laptop,Product Range,Likely,No,Likely,<$5,No,Yes,Slow Delivery,Often,Very Sensitive,Neutral,Delivery Delays,Flexible Returns,8,Morning,Maybe
45-54,Male,$3000-$4999,Other,Employed,3-5 times,$100-$199,"Fashion,Electronics",Desktop/Laptop,Reviews,Likely,Yes,Unlikely,<$5,Sometimes,No,High Shipping Costs,Rarely,Very Sensitive,Very Likely,Lack of Variety,"Better Loyalty Rewards,Flexible Returns",10,Evening,Maybe
25-34,Female,$3000-$4999,Bachelor’s,Employed,1-2 times,$50-$99,"Health & Beauty,Other",Mobile,Price,Neutral,Maybe,Neutral,<$5,Sometimes,Yes,High Shipping Costs,Sometimes,Not Very Sensitive,Neutral,"Other,Product Quality",AR Product Previews,1,Evening,No
35-44,Female,<$1000,Master’s,Unemployed,3-5 times,$50-$99,Home & Kitchen,Mobile,Brand,Very Likely,Yes,Very Unlikely,$5-9,Yes,Yes,Complicated Checkout,Rarely,Somewhat Sensitive,Likely,"Payment Issues,Other,Delivery Delays","Better Loyalty Rewards,Flexible Returns,AR Product Previews",3,Evening,Yes
45-54,Female,$5000-$9999,High School,Employed,1-2 times,$20-$49,"Groceries,Books,Electronics",Mobile,Discounts,Likely,Yes,Likely,<$5,Sometimes,Yes,Slow Delivery,Rarely,Somewhat Sensitive,Likely,"Product Quality,Lack of Variety","Better Loyalty Rewards,Live Chat Support",8,Evening,No
45-54,Prefer not to say,$5000-$9999,Master’s,Employed,3-5 times,$20-$49,"Groceries,Home & Kitchen,Fashion",Desktop/Laptop,Delivery Speed,Very Likely,No,Neutral,$5-9,Yes,Yes,Changed Mind,Sometimes,Neutral,Very Likely,"Poor Customer Service,Delivery Delays,Other","One-Click Checkout,Live Chat Support",4,Afternoon,No
35-44,Male,$3000-$4999,High School,Self-employed,10+ times,$20-$49,"Home & Kitchen,Electronics",Mobile,Brand,Neutral,No,Likely,<$5,Yes,Maybe,Complicated Checkout,Rarely,Very Sensitive,Likely,"Payment Issues,Delivery Delays,Product Quality","One-Click Checkout,Live Chat Support,Flexible Returns",2,Night,Yes
55+,Male,$5000-$9999,Bachelor’s,Self-employed,10+ times,$20-$49,"Groceries,Other,Health & Beauty",Other,Reviews,Likely,Yes,Unlikely,$5-9,Yes,No,Security Concerns,Often,Somewhat Sensitive,Likely,Other,"Better Loyalty Rewards,Live Chat Support,Other",6,Morning,No
25-34,Female,$5000-$9999,Bachelor’s,Employed,6-10 times,$50-$99,"Fashion,Groceries,Health & Beauty",Mobile,Product Range,Very Likely,No,Likely,$10-19,Yes,No,High Shipping Costs,Rarely,Very Sensitive,Very Likely,"Delivery Delays,Payment Issues","Better Loyalty Rewards,One-Click Checkout",4,Evening,Yes
35-44,Female,$3000-$4999,Master’s,Retired,3-5 times,$100-$199,"Home & Kitchen,Health & Beauty,Fashion",Other,Price,Very Unlikely,No,Neutral,<$5,Yes,Yes,High Shipping Costs,Never,Very Sensitive,Likely,"Payment Issues,Lack of Variety","Flexible Returns,Better Loyalty Rewards,AR Product Previews",5,Evening,No
25-34,Female,$3000-$4999,Master’s,Retired,1-2 times,$200+,"Groceries,Electronics,Health & Beauty",Mobile,Price,Very Likely,No,Likely,$10-19,Sometimes,Yes,Slow Delivery,Rarely,Very Sensitive,Likely,"Delivery Delays,Product Quality,Other",AR Product Previews,7,Morning,No
25-34,Male,$1000-$2999,Master’s,Employed,1-2 times,$100-$199,"Health & Beauty,Other,Fashion",Desktop/Laptop,Brand,Neutral,Yes,Likely,$20+,No,Yes,Security Concerns,Often,Not Very Sensitive,Likely,"Payment Issues,Poor Customer Service","Live Chat Support,AR Product Previews",8,Afternoon,No
45-54,Female,$3000-$4999,Bachelor’s,Employed,6-10 times,$20-$49,"Groceries,Books,Health & Beauty",Desktop/Laptop,Price,Neutral,Yes,Unlikely,$5-9,Sometimes,No,Changed Mind,Sometimes,Somewhat Sensitive,Neutral,Delivery Delays,"Flexible Returns,Live Chat Support,Better Loyalty Rewards",7,Night,Maybe
25-34,Male,"$10,000+",Bachelor’s,Employed,1-2 times,$50-$99,"Books,Home & Kitchen,Groceries",Mobile,Discounts,Unlikely,Yes,Unlikely,$5-9,Sometimes,Yes,Complicated Checkout,Sometimes,Not at All Sensitive,Unlikely,"Other,Payment Issues",Better Loyalty Rewards,9,Morning,No
45-54,Male,$5000-$9999,Bachelor’s,Employed,3-5 times,$50-$99,Home & Kitchen,Mobile,Discounts,Unlikely,No,Likely,<$5,Yes,No,Changed Mind,Sometimes,Neutral,Neutral,"Product Quality,Other","One-Click Checkout,Live Chat Support,AR Product Previews",8,Morning,Yes
25-34,Male,$1000-$2999,Bachelor’s,Employed,3-5 times,$50-$99,"Electronics,Health & Beauty",Desktop/Laptop,Price,Neutral,No,Neutral,<$5,Yes,Yes,Changed Mind,Sometimes,Very Sensitive,Neutral,Delivery Delays,"Better Loyalty Rewards,One-Click Checkout",5,Afternoon,No
